Module	Field Identifier	Field (User Interface Label)	Field (Code Label)	Menu	NullValueMenu	Description	Examples
Antimicrobial resistance	Not Applicable	piperacillin-tazobactam vendor name	piperacillintazobactam_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	polymyxin-b intermediate breakpoint	polymyxinb_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	polymyxin-b laboratory typing method	polymyxinb_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	polymyxin-b laboratory typing platform	polymyxinb_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	polymyxin-b laboratory typing platform version	polymyxinb_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	polymyxin-b measurement	polymyxinb_measurement		TRUE	The measured value of polymyxin B resistance.	4
Antimicrobial resistance	Not Applicable	polymyxin-b measurement sign	polymyxinb_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	polymyxin-b measurement units	polymyxinb_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	polymyxin-b resistance phenotype	polymyxinb_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	polymyxin-b resistant breakpoint	polymyxinb_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	polymyxin-b susceptible breakpoint	polymyxinb_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	polymyxin-b testing standard	polymyxinb_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	polymyxin-b testing standard details	polymyxinb_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	polymyxin-b testing standard version	polymyxinb_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	polymyxin-b vendor name	polymyxinb_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin intermediate breakpoint	quinupristindalfopristin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin laboratory typing method	quinupristindalfopristin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin laboratory typing platform	quinupristindalfopristin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin laboratory typing platform version	quinupristindalfopristin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin measurement	quinupristindalfopristin_measurement		TRUE	The measured value of quinupristin-dalfopristin resistance.	4
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin measurement sign	quinupristindalfopristin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin measurement units	quinupristindalfopristin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin resistance phenotype	quinupristindalfopristin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin resistant breakpoint	quinupristindalfopristin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin susceptible breakpoint	quinupristindalfopristin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin testing standard	quinupristindalfopristin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin testing standard details	quinupristindalfopristin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin testing standard version	quinupristindalfopristin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	quinupristin-dalfopristin vendor name	quinupristindalfopristin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	streptomycin intermediate breakpoint	streptomycin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	streptomycin laboratory typing method	streptomycin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	streptomycin laboratory typing platform	streptomycin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	streptomycin laboratory typing platform version	streptomycin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	streptomycin measurement	streptomycin_measurement		TRUE	The measured value of streptomycin resistance.	4
Antimicrobial resistance	Not Applicable	streptomycin measurement sign	streptomycin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	streptomycin measurement units	streptomycin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	streptomycin resistance phenotype	streptomycin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	streptomycin resistant breakpoint	streptomycin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	streptomycin susceptible breakpoint	streptomycin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	streptomycin testing standard	streptomycin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	streptomycin testing standard details	streptomycin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	streptomycin testing standard version	streptomycin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	streptomycin vendor name	streptomycin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	sulfisoxazole intermediate breakpoint	sulfisoxazole_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	sulfisoxazole laboratory typing method	sulfisoxazole_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	sulfisoxazole laboratory typing platform	sulfisoxazole_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	sulfisoxazole laboratory typing platform version	sulfisoxazole_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	sulfisoxazole measurement	sulfisoxazole_measurement		TRUE	The measured value of sulfisoxazole resistance.	4
Antimicrobial resistance	Not Applicable	sulfisoxazole measurement sign	sulfisoxazole_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	sulfisoxazole measurement units	sulfisoxazole_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	sulfisoxazole resistance phenotype	sulfisoxazole_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	sulfisoxazole resistant breakpoint	sulfisoxazole_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	sulfisoxazole susceptible breakpoint	sulfisoxazole_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	sulfisoxazole testing standard	sulfisoxazole_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	sulfisoxazole testing standard details	sulfisoxazole_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	sulfisoxazole testing standard version	sulfisoxazole_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	sulfisoxazole vendor name	sulfisoxazole_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	telithromycin intermediate breakpoint	telithromycin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	telithromycin laboratory typing method	telithromycin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	telithromycin laboratory typing platform	telithromycin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	telithromycin laboratory typing platform version	telithromycin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	telithromycin measurement	telithromycin_measurement		TRUE	The measured value of telithromycin resistance.	4
Antimicrobial resistance	Not Applicable	telithromycin measurement sign	telithromycin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	telithromycin measurement units	telithromycin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	telithromycin resistance phenotype	telithromycin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	telithromycin resistant breakpoint	telithromycin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	telithromycin susceptible breakpoint	telithromycin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	telithromycin testing standard	telithromycin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	telithromycin testing standard details	telithromycin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	telithromycin testing standard version	telithromycin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	telithromycin vendor name	telithromycin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	tetracycline intermediate breakpoint	tetracycline_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	tetracycline laboratory typing method	tetracycline_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	tetracycline laboratory typing platform	tetracycline_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	tetracycline laboratory typing platform version	tetracycline_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	tetracycline measurement	tetracycline_measurement		TRUE	The measured value of tetracycline resistance.	4
Antimicrobial resistance	Not Applicable	tetracycline measurement sign	tetracycline_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	tetracycline measurement units	tetracycline_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	tetracycline resistance phenotype	tetracycline_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	tetracycline resistant breakpoint	tetracycline_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	tetracycline susceptible breakpoint	tetracycline_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	tetracycline testing standard	tetracycline_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	tetracycline testing standard details	tetracycline_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	tetracycline testing standard version	tetracycline_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	tetracycline vendor name	tetracycline_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	tigecycline intermediate breakpoint	tigecycline_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	tigecycline laboratory typing method	tigecycline_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	tigecycline laboratory typing platform	tigecycline_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	tigecycline laboratory typing platform version	tigecycline_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	tigecycline measurement	tigecycline_measurement		TRUE	The measured value of tigecycline resistance.	4
Antimicrobial resistance	Not Applicable	tigecycline measurement sign	tigecycline_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	tigecycline measurement units	tigecycline_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	tigecycline resistance phenotype	tigecycline_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	tigecycline resistant breakpoint	tigecycline_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	tigecycline susceptible breakpoint	tigecycline_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	tigecycline testing standard	tigecycline_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	tigecycline testing standard details	tigecycline_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	tigecycline testing standard version	tigecycline_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	tigecycline vendor name	tigecycline_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole intermediate breakpoint	trimethoprimsulfamethoxazole_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole laboratory typing method	trimethoprimsulfamethoxazole_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole laboratory typing platform	trimethoprimsulfamethoxazole_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole laboratory typing platform version	trimethoprimsulfamethoxazole_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole measurement	trimethoprimsulfamethoxazole_measurement		TRUE	The measured value of trimethoprim-sulfamethoxazole resistance.	4
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole measurement sign	trimethoprimsulfamethoxazole_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole measurement units	trimethoprimsulfamethoxazole_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole resistance phenotype	trimethoprimsulfamethoxazole_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole resistant breakpoint	trimethoprimsulfamethoxazole_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole susceptible breakpoint	trimethoprimsulfamethoxazole_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole testing standard	trimethoprimsulfamethoxazole_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole testing standard details	trimethoprimsulfamethoxazole_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole testing standard version	trimethoprimsulfamethoxazole_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	trimethoprim-sulfamethoxazole vendor name	trimethoprimsulfamethoxazole_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance phenotypic testing	GENEPIO:0100521	AMR agent name	amr_agent_name	AmrAgentNameMenu	null value menu	The name of the agent that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans.	Amoxicillin-clavulanic [ARO:3003997]
Antimicrobial resistance phenotypic testing	GENEPIO:0100526	AMR laboratory typing method	amr_laboratory_typing_method	AmrLaboratoryTypingMethodMenu	null value menu	The general method used for antibiotic susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance phenotypic testing	GENEPIO:0100527	AMR laboratory typing platform	amr_laboratory_typing_platform	AmrLaboratoryTypingPlatformMenu	null value menu	The brand/platform used for antibiotic susceptibility testing	Sensitire [ARO:3004402]
Antimicrobial resistance phenotypic testing	GENEPIO:0100528	AMR laboratory typing platform version	amr_laboratory_typing_platform_version		null value menu	The specific name and version of the plate, panel, or other platform used for antibiotic susceptibility testing.	CMV3AGNF
Antimicrobial resistance phenotypic testing	GENEPIO:0100522	AMR measurement	amr_measurement		null value menu	The measured value of antimicrobial resistance.	4
Antimicrobial resistance phenotypic testing	GENEPIO:0100524	AMR measurement sign	amr_measurement_sign	AmrMeasurementSignMenu	null value menu	The qualifier associated with the antibiotic susceptibility measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance phenotypic testing	GENEPIO:0100523	AMR measurement units	amr_measurement_units	AmrMeasurementUnitsMenu	null value menu	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance phenotypic testing	GENEPIO:0100525	AMR phenotype	amr_phenotype	AmrPhenotypeMenu	null value menu	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard.	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance phenotypic testing	GENEPIO:0100511	AMR testing by	amr_testing_by		null value menu	The name of the organization that performed the antimicrobial resistance testing.	Canadian Food Inspection Agency
Antimicrobial resistance phenotypic testing	GENEPIO:0100514	AMR testing by contact email	amr_testing_by_contact_email		null value menu	The email of the individual or the individual's role in the organization that performed the antimicrobial resistance testing.	johnnyblogs@lab.ca
Antimicrobial resistance phenotypic testing	GENEPIO:0100513	AMR testing by contact name	amr_testing_by_contact_name		null value menu	The name of the individual or the individual's role in the organization that performed the antimicrobial resistance testing.	Enterics Lab Manager
Antimicrobial resistance phenotypic testing	GENEPIO:0100512	AMR testing by laboratory name	amr_testing_by_laboratory_name		null value menu	The name of the lab within the organization that performed the antimicrobial resistance testing.	Topp Lab
Antimicrobial resistance phenotypic testing	GENEPIO:0100515	AMR testing date	amr_testing_date		null value menu	The date the antimicrobial resistance testing was performed.	2022-04-03
Antimicrobial resistance phenotypic testing	GENEPIO:0100517	AMR testing intermediate breakpoint	amr_testing_intermediate_breakpoint		null value menu	The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antibiotic	16
Antimicrobial resistance phenotypic testing	GENEPIO:0100518	AMR testing resistant breakpoint	amr_testing_resistant_breakpoint		null value menu	The minimum measurement, in the units specified in the “AMR_measurement_units” field, for a sample to be considered “resistant” to this antibiotic	32
Antimicrobial resistance phenotypic testing	GENEPIO:0100530	AMR testing standard	amr_testing_standard	AmrTestingStandardMenu	null value menu	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
